Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
РУДНИКОТ,"ОД АВТОРОТ НА БЕСТСЕЛЕРИТЕ „ДЕЦА НА ЗЛОТО“ И „ОСТРОВОТ НА ПЕЛИКАНИТЕ“
Ти не знаеш што има таму. Никој не знае што има таму.
Третиот роман на Миодраг Мајиќ е пишуван со намера што е очигледна уште од првата реченица. Исповедта на Богдан Бањац можеби е вистинита, а можеби е плод на трауматизираната фантазија, но во секој случај е веродостојна на неговите сеќавања. Тој е поранешен адвокат што се наоѓа во санаториум и поради тоа неговите навраќања кон минатото можат да бидат земени со резерва од јавноста. Сепак, читателот лесно станува негов сојузник, дури и кога нема да поверува во сè што кажува. Според приказната на Бањац, тој се наоѓа во средиштето на комплексна мрежа од интереси на крупниот капитал, политиката и на институциите… А рудникот богат со кобалт во селото на неговата баба наликува на премин кон некој друг, страшен свет, кој е пандан на ужасите што се случуваат во овој, нашиот свет. Потреба за раскажување е последниот обид на Богдан да го реконструира минатото за да ја состави целосната слика за сегашноста и така да дојде до – вистината.",Романи,Миодраг Мајиќ,Антолог-Боокс ДООЕЛ,,,450 ден.
ДВОРЕЦ ВО РОМАЊА,"„Дворец во Ромања“ е првиот роман на Игор Штикс.
Тројца млади вљубеници во литературата и архитектурата доаѓаат во посета на дворецот Марди, каде што поетот Енцо Стречи живеел во периодот на ренесансата. Додека девојките го разгледуваат дворецот, момчето се фасцинира од приказните на калуѓерот за животот на Стречи. Тој својата љубов ја сретнал токму таму, по што ѝ посветил многу љубовни песни, но во дворецот ги проживеал и најтешките денови од својот живот. Инспириран од потеклото на момчето, калуѓерот раскажува и за себе. Дошол во Италија од Раб, по прогонот од тамошните власти заради Резолуцијата за Информбирото. Неговиот егзил е резултат на политичката ситуација и на несогласувањето со тогашната комунистичка власт, како и на забранетата љубов.
Штикс поврзува две љубовни приказни со историски и политички ситуации. Првата се случила во време на конфликт меѓу Ломбардија и Хабсбурзите, а другата се случила во поствоена СФРЈ.",Романи,Игор Штикс,Антолог-Боокс ДООЕЛ,2024,121,250 ден.
УБИСТВОТО НА КОМАНДАНТОТ,"НЕВЕРОЈАТНА КНИГА ЗА ЉУБОВТА И ОСАМЕНОСТА, ВОЈНАТА И УМЕТНОСТА – УШТЕ ЕДНО РЕМЕК-ДЕЛО НА ЕДЕН ОД НАЈГОЛЕМИТЕ СОВРЕМЕНИ ПИСАТЕЛИ
По разделбата со сопругата, триесет и нештогодишниот сликар одлучува да оди да живее на планина во куќата на еден познат уметник, татко на негов пријател. Деновите му поминуваат во сликање, готвење, слушање музика на грамофонот и пиење чаша виски навечер. Но еден ден случајно открива чудна слика скриена на таванот и не сакајќи го отвора кругот од мистериозни случувања во кој се вплеткани неговиот мистериозен сосед, едно таинствено ѕвонче, тринаесетгодишно девојче, обидот за атентат на нацистички функционер и страшното подземје. За да го затвори кругот, уметникот мора да тргне на опасно патување за себеоткривање во волшебното подземје какво што само Харуки Мураками може да создаде.",Романи,Харуки Мураками,ТРИ,,,650 ден.
РИНГИШПИЛ,"Нејзините покрети беа понежни и посуптилни од секоја нота. Нејзиното тело е синоним за страст и уметност истовремено. Елеганција, лирско изразување, емоции и грациозност во  себе носат едно име : Ана Балинт. Знаеше дека го сака, единствен , со страсна , длабока, чиста, немерлива љубов. Ј.Б.Алимпиќ испишува интимна исповед на балерина со кревко тело и џиновски дух, градејќи приказна за малите-големи луѓе, балетските сцени, салашите и уметниците, поетите и нивните музи, утрата кои мирисаат на слатко од дуња и незаборавните руски зими.",Романи,Јелена Бачиќ-Алимпиќ,Матица,,,450 ден.
СВЕТЛИНАТА НА АНТИКИТЕРА,"Ангелики Апостолакис е туристички водич кој живее и работи на островот Лезбос во Грција. Таа е порасната во патријархално и конзервативно семејство каде зборот на таткото е закон. Токму поради тоа, нема избор, освен да работи во семејната туристичка агенција, иако не ѝ се допаѓа ниту работата, ниту работната атмосфера. Но, на една семејна вечера, нејзината братучетка, Зои, која живее на островот Наксос, успева да издејствува Ангелики да замине со неа, под изговор дека ѝ треба помош во работата.
На прошетка до локалните знаменитости, Ангелики случајно открива стара кутија полна со чудни предмети. Па двете братучетки, заинтригирани од откритието, се обидуваат да дознаат што е тоа што го пронашле и колкава вредност има. Потрагата ги води низ авантури на повеќе грчки острови. Како што се сретнуваат со различни луѓе и дознаваат сѐ повеќе информации за грчката митологија и легендите, така стануваат сѐ посвесни дека имаат пронајдено нешто исклучително. Толку исклучително што може да ги одведе и до исклучителна опасност. Затоа што, некој почнува да ги следи. Некој постојано им е зад петици. Кој знае за нивното откритие? И зошто е тоа толку важно за некого?
„Светлината на Антикитера“ е мистерија која ќе ве поведе на раскошно патување по грчките острови. Приказна која шета помеѓу минатото и сегашноста, задржувајќи го вниманието со тензија, неизвесност и интересни факти од грчката митологија сѐ до последната страница.",Романи,Лепа Гештаковска Христовска,Сакам книги,,,370 ден.
НЕГОВИТЕ БЕЛИ РАКАВИЦИ,,Романи,Јелена Бачиќ Алимпиќ,Матица,,,390 ден.
СРЕЌА Е ДА ПИЈАМ ЧАЈ СО ТЕБЕ,"Атикус Крафтсмен, млад британски џентлмен кој работи во семејната издавачка куќа и голем љубител на чајот ерл греј, е задолжен да отпатува во Мадрид за да го згасне тамошното непрофитабилно списание. Неговата редакција ја сочинуваат пет многу сложни жени, кои се подготвени на сѐ само за да не останат без работните места. Кога Атикус необјасниво ќе исчезне во темната внатрешност на Шпанија, сомнението паѓа токму врз нив.
Инспекторот Манчего ќе биде задолжен да ги расплете нишките на настаните во кои романтичната комедија се меша со најтрогателна драма, а трилерскиот заплет завршува со врвно книжевно откритие на сите времиња. Тешкото станува лесно, судбините на хероите се испреплетуваат на најнеобични начини, а неволите потонуваат во море од солзи... но солзи од смеа и восхит. И сето тоа за да сфатиме дека љубовта објаснува сѐ. Предупредување: овој роман може да изврши длабоко влијание врз вашиот песимистички поглед на реалноста!
„Духовито, романтично и апсолутно шармантно.“
Џурни оф а букселер (Journey of a Bookseller)
„Израдувајте се со овој забавен, романтичен роман кој ќе ви ја врати насмевката на лицето.“
planetadelibros.com
„Книга што ќе ве потсети дека љубовта сѐ уште постои.“
somoslibros.net",Романи,Мамен Санчес,ТРИ,,,450 ден.
ЦАРИГРАДСКИ ЕМИГРАНТ,"„Емиграцијата се открива во сите свои протибречности и  величественост – како мака и како спац, како сакана и како возбуда, како стигма и како привилегија, за да се кристализира коечно во неспоредливо чувство на метафизичкиот копнеж (...)
Токму во таа и таквата  метафизика на емиграцијата,  емигрантскиот копнеж трепери, проблеснува и добива конкретни контури во романот Цариградски емигрант. Со тоа Луан Старова се промовира како еден од најдобрите познавачи и толкувачи на феноменот на емиграцијата како универзална состојба на човечкиот дух.“
Ферид Мухиќ
Со својот најнов наслов, осумнаесетти по ред, Луан Старова на посебен начин ја збогатува својата Балканска сага, чии дела се преведени на дваесетина јазици и од француската книжевна критика се вбројуваат во големите европски романи. И во Цариградски емигрант авторот продолжува да ја следи и толкува емигранската сага на своето семејство, која трае до крајот на XIX век практично до денешни дни...
За богатото дело на Старова пишувале Едгар Море, Морис Дрион, Ален Боске, Василис Василикос, Предраг Матвејевиќ и други. За својата Балканска сага Луан Старова е добитник на повеќе домашни и странски книжевни признанија.",Романи,Луан Старова,ТРИ,,,250 ден.
КАРМИЛА,"„Кармила“ е култно дело на вампирската фикција, книгата што го инспирирала Брем Стокер да го напише „Дракула“.
„Кармила“ е готска новела од 1872 година од ирскиот автор Џозеф Шеридан Ле Фанју. Првобитно објавена како серијал во „Темносино“ (1871-72), приказната ја раскажува млада жена којашто ја демне женски вампир по име Кармила, изразувајќи романтични желби кон протагонистката. Приказната е честопати антологизирана и многупати е адаптирана за филм и други медиуми.",Романи,Џозеф Шеридан Ле Фанју,ИД-КОНЦЕПТ КОНСАЛТИНГ И ДИЗАЈН (Чудна Шума),,,275 ден.
ПОСЛЕДНА ЖЕЛБА,"1996 е годината која менува сѐ за Меги. Кога на шеснаесет години ја праќаат да живее со тетка која едвај ја познава, во далечно гратче на брегот на Северна Каролина, не може да мисли на ништо друго, освен на пријателите и семејството кои ги остава зад себе… но тоа почнува да се менува кога го запознава Брајс Трикет, еден од малкуте тинејџери на островот. Прекрасен, искрен и полн со живот, Брајс ја запознава со многуте убавини на градот опкружен со плажи, но и со фотографирањето, страст која ќе го дефинира остатокот од нејзиниот живот.
До 2019 година, Меги веќе е познат фотограф. Таа има успешна галерија во Њујорк, но истовремено и многу патува на далечни места низ целиот свет. Но оваа година неочекувано останува дома за Божиќ, избезумена од страшна дијагноза. Бидејќи станува сѐ позависна од својот асистент, таа се зближува со него. Додека заедно ги одбројуваат последните денови од празниците, таа почнува да му раскажува приказна за еден друг Божиќ, од пред многу декади – и љубовта која ја насочила кон животот кој никогаш не можела ни да си го замисли.",Романи,Николас Спаркс,Сакам книги,,,550 ден.
ЈАНИЧАРИ,"И во својот најнов роман Јаничари од Балканската сага, која француската книжевна критика ја вбројува во редот на големите европски романи, Луан Старова третира една трајно актуелна проблематика потпирајќи се врз силната ерудиција и романескната драматургија што ја носат двајцата главни ликови. Тие се понесени од идејата вистински толкувајќи го јаничарството во сите појавни облици и во различни времиња, да придонесат за спасување на своите потомци, кои остануваат чувари на идентитетот на својот народ, чувари на човештвото...
Романот Јаничари е дваесеттата книга од големиот проект на Луан Старова наречен Балканска сага. Сите овие томови се, всушност, една приказна за балканската стварност, видена и раскажана преку едно бегалско семејство... Авторот, по широко проучување на јаничарскиот феномен, испишува една обемна, импресивна книга, сугерирајќи дека јаничарство може да се смета за клуч за разбирање на балканската судбина.
Димитар Башевски
Двата главни лика, Таткото и Климент Камилски, во нивната декултуризација/рекултуризација, ја пренесуваат својата визија и на Сталин, Грузиецот, првин внесен во монашкиот ред, кој станува „главниот јаничар“ на Советската Империја.
Едгар Морен",Романи,Луан Старова,ТРИ,,,450 ден.
СКРШИ ГО МРАЗОТ,"Анастасија Ален цел живот дава сѐ од себе за да добие шанса да влезе во Американскиот олимписки тим. Се натпреварува во лизгање уште од петгодишна возраст, има комплетна студентска стипендија благодарение на нејзината позиција во лизгачкиот тим и секојдневен распоред на активности од кои би липала и најамбициозната личност на светот. Стаси не си игра, Стаси секогаш цели на победа. Без исклучоци.
Нејтан Хокинс никогаш немал проблем што не може да го реши. Како капитен на Тајтанс, добро знае што значи одговорноста да го носиш целиот тим на рамена на мразот. Но благодарение на едно недоразбирање, двата тима мораат да го делат лизгалиштето, а партнерот на Анастасија се повредува. Тогаш Нејт е принуден да го замени хокеарскиот стап за хеланки и стариот страшен тренер за уште пострашен.
Тие се заглавени заедно на повеќе од еден начин, но во ред е, бидејќи Анастасија мрази хокеари… нели?",Љубовни романи,Хана Грејс,Сакам книги,,,590 ден.
ПОКОРУВАЈЌИ ГО ВОЈВОДАТА,"Таа ја ризикува својата иднина за него, а тој го губи своето место во историјата заради неа.
Англија, 1879 година. Анабел Арчер, брилијантната но сиромашна ќерка на селскиот викар, се изборува за место во првата група студентки на Оксфорд. За да возврати за добиената стипендија, мора да го поддржува движењето за глас на жените. Нејзина должност: да ги придобие мажите да се залагаат за женските права. Нејзина цел: Себастијан Деверо, студениот и тврдокорен војвода од Монтгомери кој ја води британската политика под контрола на кралицата. Нејзин предизвик: да не попушти пред моќната привлечност на војводата, која е невоможно да се игнорира.
Но ниту тој не може да остане рамнодушен, колку и да се убедува дека му е потребна сопруга со ист социјален статус и со наследство. Умешниот стратег потклекнува пред зелонооката Анабел...
Растргната меѓу љубовта и волјата за слобода, Анабел ќе открие што е потребно за да се покори еден војвода.
„Данмор го доловува духот на ерата со блескава живост, разбивајќи ги стереотипите за викторијанска Англија, запознавајќи нè со група извонредни жени кои одбиваат да живеат како случајни минувачи во своите животи.“
Ентертејмент викли
„Шармантно, заводливо и апсолутно возбудливо – токму како што треба да изгледа една историска романса!“
Паблишерс викли",Љубовни романи,Иви Данмор,ТРИ,,,500 ден.
ЛОВЕЦ НА ОЧИ (КОЛЕКЦИОНЕР НА ОЧИ 2),"Тој е најдобриот очен хирург во светот. Легенда во операционата сала. И им ги вади очните капаци на жените пред да почне да се изживува над нив…
Доктор Зукер е психопат кој води двоен живот. Преку ден ги врши најкомплицираните операции на човечкото око. Но ноќе се фокусира на неговите „специјални пациенти“: жените на кои им ги отвора очите во најбуквалната смисла на зборот. Им ги отстранува очните капаци, ги силува – и им дозволува да побегнат. Досега, сите негови жртви имаат извршено самоубиство. Бидејќи немаат ниту сведоци, ни физички докази, полицијата бара помош од Алина Грегориев. Слепата физиотерапевтка, која се смета за јасновитка од случајот со „Колекционерот на очи“, треба да се обиде да даде некоја насока за следниот „пациент“ на Зукер. Алина неволно се согласува – и со тоа пропаѓа во вртлог на лудило и насилство. Нејзиниот пријател, Александер Зорбах, е единствената личност која би можела да ја ослободи, но тој е западнат во комплетна апатија уште откако „Колекционерот на очи“ го киднапира неговиот син. Ни едниот, ни другиот од нив сѐ уште нема сфатено дека постои фатална конекција помеѓу „Колекционерот на очи“ и „Ловецот на очи“, Зукер…",Трилери,Себастијан Фицек,Сакам книги,,,590 ден.
ЗАМОК - ФРАНЦ КАФКА,"„Замок“ е класика без која не може да се замисли книжевноста на XX век!
Приказната е навидум едноставна – К. на секаков начин се обидува до дојде до одговорните во замокот што управува со селото во кое е дојден да работи како геометар. Но никако не може да стигне дотаму – наместо тоа, наидува на луѓето од селото и ги доживува опскурноста и налудничавоста на нивниот туѓ свет. Сета содржина на ова книжевно ремек-дело може накратко да биде означена како залудни обиди на К. да го најде патот до замокот. Но едноставноста е само привидна. Уметничкиот космос на Кафка, кој се надоврзува на делата на Хофман, Гогољ, Достоевски, Е. А. По, е полн со параболи, сомнибулни ситуации и симболичка многузначност. Тој го маѓепсува читателот и го води во познати, но непрепознатливи предели, скриени во длабочините на нашето скриено „јас“. Со секое ново читање се исцртува нов пат низ лавиринтите на овој космос.
„Замок“ е роман за отуѓувањето, бирократијата и за бесцелните обиди на човекот да се бори против системот и уште едно од брилијантите дела на Кафка.
Оваа книга е прв интегрален превод на македонски јазик што ги содржи оригиналните поговори на Макс Брод и сите отфрлени фрагменти.",Романи,Франц Кафка,Антолог-Боокс ДООЕЛ,,,500 ден.
ОСТРОВ - МЕША СЕЛИМОВИЌ,"Куќата е на крајот од ’ртот, во ретката борова шума, на островот. Сосем близу до гробиштата, далеку од малата рибарска населба. Тука, недалеку од морето, блескаво лете, смрачено и сиво зиме, живеат тие двајца, со години, отповеќе многу години, можеа и да заборават сè што било, оти било одамна, ама немаат заборавено, осудени се на сеќавање.
Негови се: мрежата, чамецот, рибите, говорите, тагата и бесот, талкањето по островот.
Нејзини се: готвењето, чистењето, цвеќињата, кокошките, клавирот за кој сонува, трпението и тивкото сеќавање.
Тој ги мрази своите риби, и вели: Утре ќе јадеме кокошка за ручек. Таа е поразумна, вели: Поарно риба.
Ова е прв превод на романот „Остров“ на македонски јазик.",Романи,,Антолог-Боокс ДООЕЛ,,,300 ден.
ТАЈНАТА НА АЛЕКСОВИ,"Алекса Алексов потекнува од богато и познато семејство. Тој е единец на мајка и татко кои многу се обидувале, но не можеле да имаат други деца, па можеби токму тоа е причината што е по малку разгален, што сè му е допуштено, што има малку тежок табиет и никој едноставно не може да го одбие за ништо. Така, уште првиот ден кога ја здогледува помладата и преубава Дафина, решава дека таа мора да му стане жена.
Но, како што велат злобните соседи, семето на Алексови тешко фаќа, не вирее. По пет неплодни и страдални години, најпосле им се раѓа првата ќерка. Потоа, им се раѓа и втората. И третата… Алекса е изгорен за син и не го крие тоа, па Дафина е несреќна што не може да му го даде наследникот по кој тој толку копнее. Ова незадоволство дополнително го потпалува лошиот табиет на Алекса, па трите сестри почнуваат да живеат во страв од нивниот избувлив татко, обвинувајќи се себеси што не се тоа што тој најмногу го посакува. И баш кога помислуваат дека среќата конечно ќе им се насмевне, зад аголот чека ново страдање…
Семејна сага на три генерации жени; клопче од тајни, страдања и солзи.",Романи,Наде Стојилковиќ,Сакам книги,,,350 ден.
ТВОЈАТА ВИНА,"Уште поголема романса, но и предавство, разочарување, мистерија: сето тоа ве чека во продолжението на романтичната сага за лошото момче со добро срце и за добрата девојка со голема храброст.
Кога Ноа се вљуби во Ник знаеше дека нивната врска нема да биде едноставна: тие се целосна спротивност, оган и струја, а кога се заедно светкаат молњи… во секоја смисла. Досега нивната страст беше посилна од гордоста, но разликата меѓу нив и сеништата што ги демнат обајцата, сето тоа постојано ги доведува во искушение, како темпирана бомба што се заканува дека ќе ги разнесе.
Во љубовта не е сè и секогаш мед и млеко, а Ник и Ноа мораат да научат како заедно да се соочат со пречките и да не дозволат некој да ги раздвои.
Дали Ноа, навистина, е подготвена да се соочи со своите стравови и повторно да му верува некому? Дали Николас ќе успее да го остави своето минато зад себе и да ѝ го отвори срцето на една личност?",Романи,Мерцедес Рон,Топер,,,599 ден.
МАЧКИНО ОКО,"Вознемирувачки, смешен и сочувствителен роман, во кој една жена се обидува да ги одмрси замотаните јазли на својот живот.
Илејн Рисли е контроверзна сликарка што се враќа во Торонто, градот каде што ја поминала младоста, за да изврши ретроспектива на сопствената уметност. Но одеднаш ја обземаат живописните слики од минатото. Најсилното сеќавање ѝ е поврзано со Корделија, девојчето предводник на три девојчиња што кон неа се однесувале истовремено и многу сурово, но и многу полезно. Тие ја втурнале во тајните предели на детството, свет во кој таа ги осознала пријателството, копнежот и предавството. Илејн се наоѓа во фаза од животот во која мора да се соочи со сопствениот идентитет како ќерка, љубовница, уметник и жена, но пред сѐ, таа мора да побара ослободување од сопствените спомени што ја прогонуваат.",Романи,Маргарет Атвуд,Антолог-Боокс ДООЕЛ,,,600 ден.
КНИГА НА СПОМЕНИТЕ,,Романи,Јелена Бачиќ Алимпиќ,Матица,,,390 ден.
ЦРНА И СРЕБРЕНА,"Третиот роман на Паоло Џордано Црна и сребрена раскажува за интимниот живот на едно модерно младо италијанско семејство кое доживува криза по смртта на старата помошничка и дадилка на детенцето на семејството. Госпоѓа А. е повеќе од домашна помошничка таа е стожер на семејството единствениот сведок на врската што ги спојува.
Црна и сребрена е меланхолична љубовна приказна, раскажана со префинет и интимен јазик и – за првпат во творештвото на авторот – во прво лице. Џордано се сосредоточува на надворешните подробности, меѓутоа ги користи за да ги долови со нив внатрешните светови на своите ликови, нивните заемни односи или стравови. Кога семејството ќе ја загуби госпоѓа А., ненадејно чувствува празнина што не може да се пополни. Но младата двојка допрва треба да согледа дека нејзината сила веќе е дел од нив.",Романи,Паоло Џордано,Паблишер,,,250 ден.
ПРАВТА НА БИБЛИОТЕКИТЕ,"Кој не умрел во книжевното дело, нема да умре никогаш.
Големото „петокнижје“ на Митко Маџунков почнува со Времето на ирвасите, по што следуваат Птиците од ланските гнезда, Непостојната книга (необјавено), Правта на библиотеките и Времето пред приказната. Со двојното појавување на поимот „време“ во самите наслови на делата, на почетокот и на крајот од циклусот, се подвлекува и една од централните теми на оваа, во нашата книжевност единствена романескна целина. Станува збор за грандиозно дело кое ќе се коментира во времињата што се пред нас, и од кое ќе се бараат решенија и насоки. Во Правта на библиотеките, наспроти „лажниот“ Дон Кихот како редукција на донкихотските вредности во
нашиот свет, се појавува „вистинскиот“ Дон Кихот кој низ каталошкиот книжен виор слегува во подземјето, каде што, со другите ликови на делото, води битка за „спас на светот“ преку книгата и сè она што таа го олицетворува.
Акад. Георги Старделов
Кога беспоговорно би го следеле Хорациј, би рекле дека Митко Маџунков напишал совршено дело за меморијата и антимеморијата! И тоа би било доволно. Но Правта на библиотеките е нешто повеќе од тоа. Овој роман на Маџунков е антологија на суштествувањето составена во најголем дел од самите ликови во романот. Како секоја базична книга, романот го поставува и прашањето каде оди
овој обездушен и обескнижен свет базиран врз рециклирање, и каде во тој свет се малите народи и нивниот идентитет?... Во тој вител на чудесни и чудни глетки и привиденија, се чини дека наративната оска постојано е вкопана во македонската почва.
Блаже Миневски",Романи,Митко Маџунков,ТРИ,,,500 ден.
ОВА МОЕ СРЦЕ,"Моли Сомервил има репутација на бељаџика. Има нешто што внатрешно ја јаде и одвреме-навреме ѝ создава нагони за правење проблеми и бељи, а предзнак за тоа обично е менувањето на фризурата. Но добро, никој не е совршен. Инаку, може да се каже дека има скоро идеален живот. Ја обожава својата работа, својот тешко заработен стан, својата француска пудлица, па дури и сестра си во чија сенка живее цел живот, бидејќи не е толку убава, успешна и гламурозна како неа.
Единствениот проблем ѝ е тоа што е безнадежно вљубена во страшно згодниот и популарен рагбист, Кевин Такер, со кој едноставно нема никаква шанса. Тој не ѝ го знае дури ни името!
Една вечер, нејзината склоност кон правење глупости ја вплеткува во комплицирана ситуација со Кевин, па нејзиниот свет одеднаш се превртува наопаку. Една грешка, една непромислена глупост, целосно им ги менува животите на двајцата и прави човекот што го сака да ја замрази.",Љубовни романи,Сузан Елизабет Филипс,Сакам книги,,,390 ден.
ЛУЃЕ БЕЗ МИНАТО,"Луѓе без минато е роман за универзалната апсурдност на историските епизоди во кои е вклештен малиот, обичен човек. Зад лажната слика на редот се крие поинаква суштина. Таа отвора низа прашања за трагичната судбина на беспомошните единки затечени во настаните што водат во ќор-сокак.
Во безизлезот на пеколот, Роберт Новак и неговата генерација се втурнати во бесмислена војна од чиј хаос во сеќавањето им остануваат болни слики и судбински средби. Во мракот на немоќта и верноста кон идеолошките вредности, кога се распаѓа нивната држава, слепи се за границите на вистината со која немаат храброст да се соочат. Но сепак, на крајот од тунелот проблеснува светла точка која ја буди надежта за подобро утре.
Луѓе без минато е роман за човечките врски, за фаталните јазли на идеологијата во кои е заробен личниот живот, за ужасните лаги и предавства што го пресоздаваат злото. А единствениот противотров за него е едноставната и чиста човечка суштина.",Романи,Ивица Челиковиќ,Паблишер,,,250 ден.
ЛАНЗАРОТЕ,"Краткиот роман Ланзароте на водечкиот современ француски писател Мишел Уелбек е исклучително моќно дело напишано во познатиот остар и шокантен стил на авторот. Познавачите на неговото дело ќе забележат дека оваа новела е основата за популарниот роман Можноста на еден остров но таа секако може да се чита како автономно дело и како успешен литерарен експеримент на контроверзниот Уелбек.
Ланзароте е колоритен, динамичен и шокантен краток роман кој прави пародија на жанрот авантуристички роман и се обидува да ја долови бесмислата на нашето апокалиптично време. Дејството се случува на шпанскиот остров Ланзароте, позната туристичка локација каде што главните ликови се впуштаат во низа авантури, за да се соочат конечно со една чудна религиска секта која верува во крајот на светот. Без оглед на тоа дали ќе го наречеме сатира или своевиден опозит на „новата морална авангарда“, Ланзароте е одличен пример за невообичаените ставови на Уелбек во врска со проблемите кои ја опседнуваат епохата во која живееме.
Освен краткиот роман Ланзароте, оваа книга е збогатена и со неколку брилијантни раскази на Уелбек, во кои тој се занимава со темите што постојано го окупираат неговото дело, како што се книжевноста, сексот, смислата на животот, смртта и длабочината на отуѓувањето на современиот човек од неговата околина.",Романи,Мишел Уелбек,ТРИ,,,280 ден.
